student_id,country,development_level,poverty_rate_percent,internet_infrastructure_index,average_internet_speed_mbps,age,gender,urban_rural,family_income_level,device_access,internet_access_hours,education_level,field_of_study,academic_motivation,online_learning_hours,social_media_hours,sessions_per_day,average_session_length_minutes,late_night_usage,education_content_hours,short_video_hours,entertainment_content_hours,news_content_hours,likes_given_per_day,comments_written_per_day,posts_created_per_week,late_night_score,brain_rot_index,brain_rot_level,attention_span_minutes,study_hours_per_week,class_attendance_rate,productivity_score,sleep_hours,stress_level,anxiety_score,depression_score,ads_viewed_per_day,ads_clicked_per_week,impulse_purchase_score,digital_spending_per_month,cyberbullying_exposure,adult_content_exposure,digital_addiction_score,wellbeing_index,academic_risk_score,financial_risk_score
1,Qatar,Developing,16.3,54.93,27.19,21,Male,Rural,High,Smartphone,5.24,Graduate,Business,7.177,10.424,1.099,4.649,16.057,2,0.24,0.457,0.402,0.329,30.096,4.968,2.108,1,5.869,1,57.552,31.434,95.482,10.0,7.139,4.262,3.193,1.409,38.699,3.12,3.681,79.508,0,0,8.18,66.662,0.0,26.517
2,USA,Developed,8.75,94.39,85.34,25,Male,Urban,Middle,Smartphone,6.262,Diploma,Arts,5.492,8.146,5.612,15.14,63.083,3,0.383,3.306,1.922,0.644,114.386,3.174,5.478,2,29.595,1,51.31,25.978,86.617,7.179,4.0,8.213,8.065,7.695,157.4,18.358,6.539,73.452,0,1,22.073,43.892,0.0,39.258
3,Mexico,Developing,23.64,47.24,73.55,18,Female,Urban,Low,Smartphone,3.438,Dropout,NA,5.395,5.154,2.2,7.075,25.779,2,0.395,0.885,0.92,0.412,56.333,8.241,1.125,1,20.242,1,55.844,21.447,89.628,9.573,6.809,2.931,1.719,1.0,79.604,11.758,5.151,35.753,0,0,12.592,65.485,0.0,47.542
4,Canada,Developed,14.51,90.5,188.19,25,Male,Urban,Middle,Laptop,4.204,PhD,Social Sciences,7.619,8.674,2.252,8.342,28.282,1,0.86,1.2,0.191,0.81,41.738,7.689,1.824,0,7.358,1,58.029,31.182,93.386,10.0,7.537,4.356,4.861,1.755,69.318,7.906,3.195,47.607,0,1,8.008,57.909,0.0,23.436
5,Sri Lanka,Underdeveloped,62.28,36.84,11.02,15,Other,Rural,Middle,Smartphone,5.419,School,NA,5.471,8.397,5.376,15.492,58.389,2,1.057,1.885,2.434,0.569,73.523,16.131,9.815,1,22.348,1,60.0,23.291,92.618,9.337,5.522,6.579,6.026,3.679,144.02,19.428,7.18,82.941,0,0,21.551,53.686,0.0,47.308
6,Vietnam,Developing,30.7,66.87,45.63,17,Other,Rural,Middle,Smartphone,5.16,School,NA,6.101,7.323,3.031,10.89,41.296,2,0.212,1.2,1.619,0.448,63.314,11.481,2.957,1,18.03,1,60.0,26.729,89.395,9.536,6.188,4.925,4.491,5.1,96.395,12.634,5.395,49.049,0,0,11.522,57.037,0.0,38.461
7,Saudi Arabia,Developing,18.41,63.7,33.33,18,Male,Rural,Low,Smartphone,4.857,Diploma,Business,6.174,6.174,3.491,9.586,40.478,2,0.386,1.544,1.561,0.511,65.014,8.329,4.611,1,21.566,1,55.591,26.226,82.551,7.517,6.719,3.73,1.449,3.42,116.461,15.399,6.063,36.553,0,0,12.805,64.472,0.0,64.286
8,Japan,Developed,6.56,93.44,122.38,25,Male,Urban,Low,Shared Device,7.252,Postgraduate,Medicine,9.019,9.763,4.116,10.643,42.074,2,1.136,1.32,1.66,0.799,101.763,2.282,7.96,1,11.55,1,60.0,33.041,98.822,10.0,5.609,4.748,5.037,5.799,115.62,13.624,5.378,47.205,1,0,12.966,57.089,0.0,59.34
9,Saudi Arabia,Developing,18.41,63.7,33.33,16,Female,Rural,Middle,Smartphone,4.545,School,NA,4.421,6.271,3.891,12.489,43.167,1,0.569,1.183,2.139,0.784,107.861,3.218,5.075,0,11.115,1,55.159,20.735,89.284,8.201,5.987,3.715,3.381,5.19,115.897,14.027,7.118,67.916,0,0,9.09,53.905,0.0,45.826
10,Germany,Developed,10.99,92.9,166.46,25,Female,Urban,High,Smartphone,4.838,Postgraduate,Social Sciences,6.954,6.951,3.042,9.545,39.89,2,1.49,0.992,0.561,1.127,85.082,7.927,2.353,1,20.605,1,58.314,29.287,92.546,10.0,5.118,5.413,3.757,5.218,93.256,9.061,3.867,69.654,1,0,11.754,54.348,0.0,19.34
